category,total_customers,discount_rate_pct,avg_order_value,avg_review_score,avg_90d_ltv,repeat_rate_pct
books_technical,256,71.2,70.82,4.4,85.74,9.4
electronics,2517,75.2,57.34,4.06,111.28,16.3
food,441,63.0,57.63,4.26,114.57,25.2
home_appliances,747,73.5,103.35,4.23,128.49,11.8
books_general_interest,496,64.6,84.36,4.51,132.51,15.5
fashion_bags_accessories,1820,75.0,74.91,4.19,133.17,19.7
stationery,2264,64.4,91.36,4.24,135.96,19.6
fashion_shoes,235,72.7,89.25,4.29,136.6,20.4
food_drink,221,76.1,55.34,4.37,139.11,38.5
toys,3804,69.6,117.28,4.2,161.77,13.3
perfumery,3086,60.2,116.41,4.21,166.16,17.3
audio,348,69.4,139.45,3.83,167.27,10.1
luggage_accessories,1019,64.4,128.82,4.34,168.04,13.1
telephony,4093,81.2,70.0,3.99,171.17,15.5
consoles_games,1018,75.9,136.21,4.14,189.17,13.8
pet_shop,1688,70.9,109.48,4.2,203.32,27.1
sports_leisure,7530,68.6,113.32,4.15,205.46,24.4
health_beauty,8647,75.3,130.39,4.19,205.67,19.1
cool_stuff,3559,68.7,164.48,4.18,210.11,10.8
baby,2809,73.3,134.37,4.07,224.53,15.6
industry_commerce_and_business,232,85.4,144.7,4.11,235.38,29.3
market_place,274,70.4,91.51,4.06,250.0,26.6
home_confort,392,68.3,134.72,3.83,271.95,32.9
housewares,5743,69.6,90.69,4.1,277.67,33.4
watches_gifts,5495,74.0,198.87,4.07,295.39,12.9
bed_bath_table,9272,63.8,93.64,3.9,305.36,39.7
furniture_decor,6307,67.4,87.43,3.92,344.38,56.5
kitchen_dining_laundry_garden_furniture,241,68.8,165.37,4.01,352.89,28.6
home_construction,483,69.1,137.06,3.89,371.01,48.4
small_appliances,609,73.9,277.83,4.22,376.73,17.2
musical_instruments,611,72.9,282.38,4.21,377.7,13.7
construction_tools_lights,242,63.9,130.9,4.04,380.59,52.1
garden_tools,3448,80.1,109.99,4.07,381.2,42.9
auto,3810,69.7,139.55,4.11,425.87,17.4
home_appliances_2,227,69.1,464.47,4.16,478.38,5.7
computers_accessories,6530,65.2,116.32,3.98,499.19,31.5
construction_tools_construction,736,74.8,155.11,4.07,566.59,42.8
furniture_living_room,414,70.8,135.94,3.92,604.12,37.7
air_conditioning,246,63.1,184.01,4.05,604.37,32.5
drinks,287,79.5,59.28,4.13,1003.79,43.2
office_furniture,1254,61.6,160.18,3.5,1089.73,56.4
fixed_telephony,212,80.5,216.0,3.76,4153.46,33.5
